subject,paper_subject,condition,local_error,paper_error,diff_error_local_minus_paper,abs_diff_error,local_RT,paper_RT,diff_RT_local_minus_paper,abs_diff_RT,local_n_valid,local_n_total_class,local_n_unusable_class,local_n_trimmed_class
s01,1,toward,13.0430528375734,13.0610236220472,-0.0179707844738139,0.0179707844738139,669.499021526419,665.606299212598,3.89272231382085,3.89272231382085,511,521,0,10
s01,1,no,12.7682926829268,12.6604938271605,0.107798855766328,0.107798855766328,614.237804878049,618.407407407407,-4.16960252935826,4.16960252935826,164,169,1,5
s01,1,away,13.0167364016736,13.0524193548387,-0.0356829531650593,0.0356829531650593,623.916317991632,617.274193548387,6.64212444324482,6.64212444324482,239,246,0,7
s02,2,toward,11.2711538461538,11.0696324951644,0.201521350989445,0.201521350989445,451.526923076923,453.348162475822,-1.82123939889891,1.82123939889891,520,530,5,10
s02,2,no,14.6036036036036,15.9181818181818,-1.3145782145782,1.3145782145782,439.77027027027,438.213636363636,1.55663390663426,1.55663390663426,222,229,25,7
s02,2,away,12.8779069767442,13.2472527472527,-0.369345770508515,0.369345770508515,428.162790697674,428.807692307692,-0.644901610017541,0.644901610017541,172,174,5,2
s03,3,toward,16.6894409937888,17.358024691358,-0.668583697569179,0.668583697569179,742.239130434783,752.283950617284,-10.0448201825013,10.0448201825013,322,363,22,41
s03,3,no,15.9630872483221,16.771986970684,-0.808899722361852,0.808899722361852,772.006711409396,837.778501628665,-65.7717902192691,65.7717902192691,298,324,58,26
s03,3,away,15.5483870967742,16.0093896713615,-0.461002574587306,0.461002574587306,781.884792626728,777.948356807512,3.93643581921606,3.93643581921606,217,261,17,44
s04,4,toward,14.4692144373673,14.3382978723404,0.130916565026904,0.130916565026904,788.934182590233,791.03829787234,-2.10411528210648,2.10411528210648,471,491,6,20
s04,4,no,11.5392491467577,12.1157894736842,-0.576540326926521,0.576540326926521,745.453924914676,766.736842105263,-21.2829171905872,21.2829171905872,293,311,18,18
s04,4,away,16.4525547445255,14.7132867132867,1.73926803123885,1.73926803123885,814.861313868613,806.629370629371,8.23194323924213,8.23194323924213,137,150,3,13
s06,5,toward,12.5763688760807,12.4264705882353,0.14989828784539,0.14989828784539,704.391930835735,699.541176470588,4.85075436514694,4.85075436514694,347,357,25,10
s06,5,no,11.7756097560976,12.0594059405941,-0.28379618449654,0.28379618449654,632.853658536585,634.341584158416,-1.48792562183064,1.48792562183064,205,208,27,3
s06,5,away,15.4666666666667,15.8577075098814,-0.391040843214734,0.391040843214734,734.549019607843,732.359683794466,2.18933581337706,2.18933581337706,255,259,24,4
s08,6,toward,11.1233766233766,11.2274143302181,-0.104037706841476,0.104037706841476,726.753246753247,718.566978193146,8.18626856010076,8.18626856010076,308,326,11,18
s08,6,no,11.0183727034121,10.8666666666667,0.151706036745374,0.151706036745374,651.162729658793,658.541666666667,-7.37893700787436,7.37893700787436,381,403,11,22
s08,6,away,12.3496503496504,12.9316770186335,-0.582026668983151,0.582026668983151,723.286713286713,730.167701863354,-6.88098857664068,6.88098857664068,143,151,4,8
s09,7,toward,9.45060240963855,9.41626794258373,0.0343344670548245,0.0343344670548245,703.265060240964,697.978468899522,5.28659134144186,5.28659134144186,415,415,54,0
s09,7,no,9.6375,9.82636655948553,-0.188866559485531,0.188866559485531,837.884375,841.099678456592,-3.21530345659198,3.21530345659198,320,338,240,18
s09,7,away,8.11965811965812,8.30701754385965,-0.187359424201532,0.187359424201532,676.098290598291,678.578947368421,-2.48065677013039,2.48065677013039,234,241,34,7
s10,8,toward,14.3806818181818,14.2457142857143,0.134967532467519,0.134967532467519,776.732954545455,768.548571428571,8.18438311688351,8.18438311688351,176,181,1,5
s10,8,no,14.6164079822616,14.7016317016317,-0.0852237193700578,0.0852237193700578,741.911308203991,737.006993006993,4.90431519699814,4.90431519699814,451,465,2,14
s10,8,away,12.4869565217391,14.1913043478261,-1.70434782608697,1.70434782608697,766.730434782609,771.139130434783,-4.4086956521744,4.4086956521744,115,117,1,2
s11,9,toward,12.7458193979933,12.6689655172414,0.0768538807519104,0.0768538807519104,584.615384615385,581.472413793103,3.14297082228165,3.14297082228165,299,315,6,16
