condition,mean_n_current,mean_n_exclude_unusable,mean_n_removed_unusable_validRT,mean_error_current,mean_error_exclude_unusable,delta_error_exclude_minus_current,mean_RT_current,mean_RT_exclude_unusable,delta_RT_exclude_minus_current
toward,350.260869565217,339.130434782609,11.1304347826087,13.5736743114567,13.427837457696,-0.145836853760716,715.234487054883,708.775688216231,-6.458798838652
no,327.869565217391,277.913043478261,49.9565217391304,13.948430666199,13.6790885836364,-0.269342082562611,716.598825905446,694.034968796621,-22.5638571088256
away,174.173913043478,165.565217391304,8.60869565217391,14.4777630612112,14.2923031073933,-0.185459953817919,722.021747755641,714.386303755586,-7.63544400005492
